INSERT INTO assignments (laboriousness, issue_date, planned_expiration_date, real_expiration_date, project_id, employee_id) VALUES
(3, '2023-03-13 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 3),
(2, '2023-01-13 12:00:00', '2023-01-14 12:00:00', '2023-01-14 12:00:00', 4, 6),
(10, '2022-12-05 12:00:00', '2022-12-13 12:00:00', '2022-12-14 12:00:00', 3, 1),
(10, '2023-01-05 12:00:00', '2023-01-09 12:00:00', '2023-01-14 12:00:00', 4, 5),
(8, '2023-01-07 12:00:00', '2023-01-09 12:00:00', '2023-01-14 12:00:00', 4, 8),
(5, '2023-03-11 12:00:00', '2023-03-12 12:00:00', '2023-03-15 12:00:00', 9, 5),
(19, '2023-01-27 12:00:00', '2023-01-29 12:00:00', '2023-02-14 12:00:00', 7, 2),
(10, '2023-02-05 12:00:00', '2023-02-08 12:00:00', '2023-02-14 12:00:00', 7, 2),
(9, '2022-10-22 12:00:00', '2022-10-26 12:00:00', '2022-10-30 12:00:00', 1, 1),
(12, '2022-12-03 12:00:00', '2022-12-04 12:00:00', '2022-12-14 12:00:00', 3, 1),
(8, '2022-10-23 12:00:00', '2022-10-24 12:00:00', '2022-10-30 12:00:00', 1, 7),
(15, '2023-01-31 12:00:00', '2023-02-09 12:00:00', '2023-02-14 12:00:00', 7, 2),
(3, '2023-02-12 12:00:00', '2023-02-13 12:00:00', '2023-02-14 12:00:00', 7, 6),
(11, '2023-02-04 12:00:00', '2023-02-08 12:00:00', '2023-02-14 12:00:00', 7, 8),
(3, '2023-03-04 12:00:00', '2023-03-05 12:00:00', '2023-03-06 12:00:00', 8, 4),
(9, '2022-11-21 12:00:00', '2022-11-23 12:00:00', '2022-11-29 12:00:00', 2, 4),
(19, '2022-11-11 12:00:00', '2022-11-18 12:00:00', '2022-11-29 12:00:00', 2, 7),
(9, '2023-01-06 12:00:00', '2023-01-11 12:00:00', '2023-01-14 12:00:00', 4, 8),
(4, '2023-04-26 12:00:00', '2023-04-27 12:00:00', '2023-04-29 12:00:00', 10, 1),
(8, '2023-02-27 12:00:00', '2023-03-05 12:00:00', '2023-03-06 12:00:00', 8, 2),
(2, '2023-01-24 12:00:00', '2023-01-25 12:00:00', '2023-01-25 12:00:00', 5, 1),
(5, '2023-02-01 12:00:00', '2023-02-03 12:00:00', '2023-02-05 12:00:00', 6, 9),
(10, '2022-12-05 12:00:00', '2022-12-06 12:00:00', '2022-12-14 12:00:00', 3, 2),
(16, '2022-11-14 12:00:00', '2022-11-20 12:00:00', '2022-11-29 12:00:00', 2, 7),
(4, '2023-04-26 12:00:00', '2023-04-27 12:00:00', '2023-04-29 12:00:00', 10, 1),
(9, '2022-12-06 12:00:00', '2022-12-08 12:00:00', '2022-12-14 12:00:00', 3, 8),
(7, '2022-10-24 12:00:00', '2022-10-26 12:00:00', '2022-10-30 12:00:00', 1, 6),
(8, '2023-02-27 12:00:00', '2023-03-04 12:00:00', '2023-03-06 12:00:00', 8, 3),
(4, '2023-04-26 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 7),
(4, '2023-03-03 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 10),
(4, '2023-01-22 12:00:00', '2023-01-24 12:00:00', '2023-01-25 12:00:00', 5, 10),
(3, '2022-12-12 12:00:00', '2022-12-13 12:00:00', '2022-12-14 12:00:00', 3, 10),
(7, '2023-02-28 12:00:00', '2023-03-03 12:00:00', '2023-03-06 12:00:00', 8, 8),
(6, '2023-03-10 12:00:00', '2023-03-12 12:00:00', '2023-03-15 12:00:00', 9, 1),
(6, '2022-10-25 12:00:00', '2022-10-29 12:00:00', '2022-10-30 12:00:00', 1, 9),
(3, '2023-04-27 12:00:00', '2023-04-28 12:00:00', '2023-04-29 12:00:00', 10, 2),
(3, '2023-03-04 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 7),
(5, '2022-11-25 12:00:00', '2022-11-28 12:00:00', '2022-11-29 12:00:00', 2, 5),
(8, '2023-02-27 12:00:00', '2023-03-04 12:00:00', '2023-03-06 12:00:00', 8, 6),
(3, '2023-02-03 12:00:00', '2023-02-05 12:00:00', '2023-02-05 12:00:00', 6, 4),
(5, '2023-03-11 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 2),
(4, '2022-11-26 12:00:00', '2022-11-29 12:00:00', '2022-11-29 12:00:00', 2, 2),
(7, '2023-01-30 12:00:00', '2023-01-31 12:00:00', '2023-02-05 12:00:00', 6, 9),
(10, '2023-01-05 12:00:00', '2023-01-08 12:00:00', '2023-01-14 12:00:00', 4, 5),
(2, '2023-03-14 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 4),
(8, '2023-01-18 12:00:00', '2023-01-20 12:00:00', '2023-01-25 12:00:00', 5, 9),
(22, '2022-11-08 12:00:00', '2022-11-12 12:00:00', '2022-11-29 12:00:00', 2, 5),
(9, '2022-12-06 12:00:00', '2022-12-13 12:00:00', '2022-12-14 12:00:00', 3, 3),
(13, '2022-12-02 12:00:00', '2022-12-07 12:00:00', '2022-12-14 12:00:00', 3, 5),
(4, '2023-04-26 12:00:00', '2023-04-28 12:00:00', '2023-04-29 12:00:00', 10, 8),
(23, '2022-11-07 12:00:00', '2022-11-25 12:00:00', '2022-11-29 12:00:00', 2, 3),
(4, '2023-03-12 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 10),
(16, '2023-01-30 12:00:00', '2023-02-11 12:00:00', '2023-02-14 12:00:00', 7, 3),
(3, '2023-04-27 12:00:00', '2023-04-28 12:00:00', '2023-04-29 12:00:00', 10, 4),
(8, '2023-03-08 12:00:00', '2023-03-11 12:00:00', '2023-03-15 12:00:00', 9, 4),
